发震时刻,震级,纬度(°),经度(°),深度(千米),参考位置,省份,城市
2016/12/20 18:04,5.8,37.25,84.81,9.0,新疆巴音郭楞州且末县,新疆维吾尔自治区,巴音郭楞
2016/12/15 22:14,5.1,22.86,121.26,5.0,台湾台东县海域,台湾省,台湾
2016/12/14 16:14,5.0,38.5,90.15,5.0,新疆巴音郭楞州若羌县,新疆维吾尔自治区,巴音郭楞
2016/12/8 13:15,6.2,43.83,86.35,6.0,新疆昌吉州呼图壁县,新疆维吾尔自治区,昌吉
2016/12/5 5:34,5.1,32.32,92.31,5.0,西藏那曲地区聂荣县,西藏自治区,那曲
2016/11/30 20:04,5.0,22.78,121.39,11.0,台湾台东县海域,台湾省,台湾
2016/11/26 17:23,5.0,39.14,74.25,7.0,新疆克孜勒苏州阿克陶县,新疆维吾尔自治区,克孜勒苏
2016/11/25 22:24,6.7,39.27,74.04,10.0,新疆克孜勒苏州阿克陶县,新疆维吾尔自治区,克孜勒苏
2016/11/25 5:55,5.2,24.14,122.38,19.0,台湾花莲县海域,台湾省,台湾
2016/10/17 15:14,6.2,32.81,94.93,9.0,青海玉树州杂多县,青海省,玉树
2016/10/6 23:51,5.9,22.6,121.38,20.0,台湾台东县海域,台湾省,台湾
2016/9/23 1:23,5.1,30.1,99.61,16.0,四川甘孜州理塘县,四川省,甘孜
2016/7/31 17:18,5.4,24.08,111.56,10.0,广西梧州市苍梧县,广西壮族自治区,梧州
2016/5/31 13:23,6.2,25.43,122.41,239.0,台湾新北市海域,台湾省,台湾
2016/5/22 10:05,5.3,28.41,87.59,6.0,西藏日喀则市定日县,西藏自治区,日喀则
2016/5/22 9:48,5.3,28.36,87.6,10.0,西藏日喀则市定结县,西藏自治区,日喀则
2016/5/18 0:48,5.0,26.1,99.53,14.6,云南大理州云龙县,云南省,大理
